"","Dallas","Denton","Ellis","Johnson","Parker","Tarrant"
"2011-05-14",0.19231276,0.28217187,0.17981201,0.2878238,0.27739251,0.1645858
"2011-05-21",0.16512915,0.17058782,0.47767498,0.3373375,0.27453672,0.19672349
"2011-05-28",0.13393481,0.17531824,0.10550996,0.31354105,0.3058104,0.12473997
"2011-06-04",0.14305971,0.17988008,0.19405881,0.20603109,1.46496815,0.11474075
"2011-06-11",0.14139345,0.08637613,0.25929767,0.29859155,0.52049447,0.14252974
"2011-06-18",0.07969831,0.18824514,0.09308948,0.14653357,0.1953125,0.10869603
"2011-06-25",0.10139829,0.17626793,0.20469083,0.25774094,0.38009675,0.10970575
"2011-07-02",0.09952119,0.16098485,0.11976944,0.13565552,0.41124058,0.09447492
"2011-07-09",0.08788557,0.24678751,0.26222013,0.16836684,0.24019215,0.06939721
"2011-07-16",0.07255721,0.1795171,0.20266965,0.23730005,0.21367521,0.07240579
"2011-07-23",0.08868943,0.17521902,0.14006536,0.36020922,0.16963528,0.10719721
"2011-07-30",0.09423998,0.17117117,0.11593363,0.18021626,1.80567498,0.07387172
"2011-08-06",0.0751375,0.16532569,0.09048682,0.15143485,0.21834061,0.10022477
"2011-08-13",0.07473143,0.19660411,0.06519436,0.20639835,0.92165899,0.11064308
"2011-08-20",0.11316881,0.12360939,0.0725492,0.15730451,0.34482759,0.08484304
"2011-08-27",0.0703852,0.10258029,0.18725293,0.31606321,0.28735632,0.08106227
"2011-09-03",0.14471625,0.19159912,0.19756338,0.29923743,0.499002,0.15724465
"2011-09-10",0.17564838,0.30598863,0.20126756,0.33382425,0.56761269,0.19470999
"2011-09-17",0.1283245,0.22355361,0.20316733,0.44366765,0.32258065,0.21185535
"2011-09-24",0.14575598,0.20203875,0.20496946,0.37538487,0.42211904,0.17071141
"2011-10-01",0.13641863,0.28712607,0.13196094,0.42916839,0.57471264,0.14725785
"2011-10-08",0.14442489,0.21551724,0.26525199,0.40723306,0.81061164,0.19630362
"2011-10-15",0.12637148,0.17087667,0.15064779,0.34908366,0.44510386,0.1769457
"2011-10-22",0.14794426,0.37545126,0.17624251,0.56596146,0.39077765,0.18566209
"2011-10-29",0.12846661,0.56432229,0.22695751,0.50928915,0.92896175,0.22345972
"2011-11-05",0.18955242,0.36801914,0.10556566,0.45860488,0.50647158,0.2073464
"2011-11-12",0.17518743,0.34463487,0.10266238,0.60351922,0.53058677,0.23439017
"2011-11-19",0.13102827,0.19932641,0.33963065,0.52693417,0.7800312,0.1989636
"2011-11-26",0.15807618,0.37084128,0.32118315,0.65229362,0.26609899,0.25322052
"2011-12-03",0.21543633,0.36450925,0.12728044,0.7247804,1.5819209,0.2257429
"2011-12-10",0.1966485,0.45438957,0.4198895,0.61167349,1.05078809,0.23628635
"2011-12-17",0.19483075,0.29482995,0.20391517,0.81741631,0.49944506,0.30424465
"2011-12-24",0.185135,0.54416074,0.37925379,0.49843276,0.5461165,0.32890978
"2011-12-31",0.2918541,0.36489341,0.25084008,0.75535972,0.99403579,0.31887331
"2012-01-07",0.20055056,0.22991615,0.30653266,0.59102041,0.41186161,0.28178024
"2012-01-14",0.22604677,0.25613849,0.40935673,0.55160626,0.33736295,0.21249146
"2012-01-21",0.19055401,0.51485149,0.15062762,0.5160326,0.31460674,0.2534628
"2012-01-28",0.21699282,0.21603099,0.54272745,0.4987785,0.18241518,0.23624925
"2012-02-04",0.19123384,0.31276656,0.38282584,0.36098981,0.27991603,0.22821738
"2012-02-11",0.18442994,0.2381803,0.24800842,0.57318806,0.67980965,0.26849858
